municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%,dem%,rep%,un%,total_waste/hh,km_label,km_trimmed_label,km_s_label,hc_label,hc_s_label,hc_n5_label,km_n4_label,km_n5_label
Fall River,62973.0,74.6,15.4,72650.0,8.4,43503.0,57807.0,17.3,19.7,42689.0,90.1,23.3,1.5,11.9,33.5,16.5,4.7,8.5,0.1,0.1,36.3,63.7,89388.0,94.3,39.6,84.6,8.3,2.1,2.1,0.1,7.5,10.5,44.0,8.0,46.0,1.037139636,4,3,2,1,1,1,3,3
Brewster,1434.0,100.0,54.0,1531.0,4.4,53517.0,84459.0,7.3,8.3,2244.0,36.3,84.6,7.5,0.5,4.9,1.9,0.0,0.6,0.0,0.0,89.3,10.7,1637.0,88.2,63.4,95.7,4.3,0.0,3.3,0.0,0.0,0.3,26.0,14.0,58.0,0.710638359,0,2,0,0,2,4,0,0
Burlington,19843.0,95.7,56.9,22564.0,2.8,118721.0,139198.0,2.7,3.8,10674.0,93.7,65.2,4.1,0.7,0.7,6.0,7.1,15.8,0.3,0.0,73.6,26.4,27650.0,91.3,41.1,77.2,5.4,0.4,19.7,0.4,0.9,3.1,27.0,11.0,62.0,1.0966937209999998,5,0,5,2,0,0,2,1
Salem,30531.0,91.2,43.0,37147.0,4.0,68808.0,87095.0,11.0,14.7,19631.0,93.9,28.9,7.7,15.9,20.5,8.5,4.6,13.6,0.0,0.3,51.5,48.5,43252.0,83.0,37.1,82.4,8.7,1.0,3.5,0.5,8.2,17.8,37.0,7.0,54.0,0.95412471,4,5,5,1,0,1,0,0
Winchester,15116.0,98.6,77.3,16960.0,2.0,169623.0,227899.0,1.5,2.3,8125.0,97.0,72.5,8.6,6.7,1.8,1.6,2.0,6.5,0.3,0.0,86.4,13.6,22738.0,94.7,42.8,83.5,0.8,0.5,16.5,0.3,1.7,2.1,29.0,12.0,59.0,1.37745766,3,4,3,2,3,0,2,4
Rockport,4242.0,97.9,58.1,4640.0,3.7,81765.0,112663.0,5.4,5.8,3094.0,77.6,63.4,6.4,12.9,10.4,5.6,0.7,0.5,0.0,0.0,68.9,31.1,5260.0,73.4,56.7,99.5,0.1,0.2,1.1,0.0,0.4,1.0,26.0,9.0,63.0,0.980047619,2,2,0,0,2,2,0,0
Waltham,42824.0,92.0,54.2,55065.0,3.0,95964.0,115461.0,5.3,9.3,25136.0,94.2,35.8,5.6,13.4,14.2,10.0,8.7,12.1,0.3,0.0,51.7,48.3,62777.0,95.4,34.3,75.5,8.8,1.0,12.9,0.1,5.6,13.6,34.0,8.0,57.0,1.394776213,4,5,5,1,0,1,3,3
Hingham,4160.0,98.4,76.9,4897.0,3.8,161607.0,261675.0,0.0,2.8,2234.0,99.6,84.2,2.8,4.2,4.3,0.0,0.0,4.5,0.0,0.0,85.7,14.3,6461.0,83.4,43.1,99.0,0.7,0.0,0.3,0.0,0.0,0.5,23.0,16.0,59.0,1.1046300009999999,3,4,3,2,3,0,2,4
Danvers,20248.0,93.7,43.2,23031.0,3.7,89250.0,110199.0,5.0,7.1,11128.0,96.1,57.9,5.9,6.9,5.1,7.9,3.7,11.6,1.0,0.1,71.3,28.7,27586.0,84.0,44.6,93.9,3.4,0.8,3.6,0.1,1.1,5.1,21.0,12.0,65.0,1.1046224340000002,2,5,1,0,0,2,0,1
Andover,5897.0,96.6,70.0,7595.0,1.4,95600.0,137230.0,6.3,9.5,3606.0,96.3,55.6,4.6,3.7,7.8,7.9,4.9,15.5,0.0,0.0,72.0,28.0,8914.0,87.3,42.8,89.3,3.0,0.2,9.5,0.6,0.1,2.5,25.0,14.0,61.0,1.432870329,2,0,5,0,0,2,0,1
