municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%,dem%,rep%,un%,total_waste/hh,km_label,km_trimmed_label,km_s_label,hc_label,hc_s_label,hc_n5_label,km_n4_label,km_n5_label
Raynham,10421.0,93.4,40.5,11813.0,4.4,101826.0,119056.0,2.4,5.4,5477.0,96.8,69.2,0.4,2.8,2.1,7.1,3.4,7.5,7.5,0.0,81.2,18.8,14488.0,85.1,42.3,96.9,1.7,0.0,2.4,0.0,1.3,2.0,21.0,14.0,63.0,0.9126347309999999,2,0,3,0,0,2,0,1
Weston,7755.0,99.0,82.8,9411.0,4.0,207702.0,302694.0,6.7,7.6,3964.0,95.5,85.7,2.7,1.0,4.1,0.7,0.4,5.1,0.2,0.0,85.8,14.2,12112.0,91.6,45.1,82.3,2.2,0.2,16.4,0.0,2.8,3.8,25.0,15.0,59.0,1.210998228,3,4,3,2,3,0,2,4
Savoy,532.0,87.4,19.5,586.0,6.0,58125.0,74555.0,5.7,7.1,364.0,80.5,88.7,0.0,0.0,1.6,0.3,0.0,0.5,8.8,0.0,91.8,8.2,680.0,123.0,52.3,90.9,10.1,0.9,0.0,0.0,0.1,3.2,15.0,5.0,77.0,0.714195402,0,2,0,0,2,4,0,0
Seekonk,11433.0,92.0,40.8,12583.0,3.0,90078.0,115938.0,4.7,5.3,6518.0,92.9,84.0,1.3,5.2,3.3,1.4,0.9,3.0,0.9,0.0,83.8,16.2,15441.0,87.0,45.0,95.9,2.3,0.1,1.9,0.5,2.5,2.5,20.0,12.0,67.0,0.8941365459999999,2,2,3,0,3,2,0,1
Bolton,3506.0,98.9,68.9,4013.0,1.7,173024.0,186436.0,0.8,1.1,1851.0,93.9,91.7,3.0,3.3,0.4,0.0,0.6,1.0,0.0,0.0,93.5,6.5,5299.0,105.0,43.0,95.2,0.5,0.0,5.8,0.5,0.6,1.4,21.0,16.0,62.0,0.45829108,3,4,3,2,3,0,2,4
East Bridgewater,9804.0,95.9,30.5,11195.0,4.2,90528.0,105193.0,3.3,6.3,4947.0,97.6,81.7,4.4,4.7,3.6,3.1,1.2,1.1,0.2,0.0,80.9,19.1,14466.0,91.5,37.8,93.0,5.0,0.5,3.5,0.0,1.6,2.1,19.0,14.0,65.0,1.3234090059999999,2,2,3,0,3,2,0,1
Sheffield,1596.0,97.9,33.9,1879.0,4.8,100909.0,124863.0,3.0,8.3,1305.0,70.3,80.6,4.3,5.4,6.1,1.5,0.0,2.1,0.0,0.0,84.7,15.3,2017.0,111.9,53.2,100.0,0.0,0.0,0.0,0.0,0.0,2.3,31.0,13.0,55.0,0.8859154929999999,2,0,0,0,2,2,0,1
Halifax,5461.0,95.7,30.6,6385.0,2.4,92774.0,104699.0,5.3,4.9,2950.0,98.4,70.7,8.4,2.3,1.8,1.9,0.0,0.0,14.9,0.0,90.8,9.2,7842.0,87.3,41.7,96.6,2.7,0.1,0.4,0.0,0.7,0.7,18.0,14.0,66.0,0.333660468,2,0,3,0,3,2,0,1
West Bridgewater,5087.0,96.2,35.4,5901.0,3.9,97404.0,108335.0,2.4,4.6,2696.0,92.7,77.4,4.3,6.8,3.3,2.6,0.3,0.0,5.3,0.0,86.6,13.4,7198.0,95.6,43.9,97.2,3.1,0.0,1.0,0.0,0.0,3.1,19.0,16.0,64.0,1.2696928140000001,2,0,3,0,3,2,0,1
Gill,1276.0,96.9,49.5,1431.0,3.6,67917.0,86738.0,2.9,8.6,623.0,92.9,83.0,3.5,4.0,5.3,0.0,1.8,0.6,1.8,0.0,81.7,18.3,1596.0,149.0,48.8,91.1,6.0,0.7,3.0,0.0,0.3,0.6,28.0,8.0,62.0,0.585107632,0,2,0,0,2,4,0,0
Eastham,4048.0,97.9,50.3,4453.0,4.8,71981.0,93829.0,6.4,8.3,6222.0,38.4,95.0,3.0,1.4,0.6,0.0,0.0,0.1,0.0,0.0,90.7,9.3,4876.0,85.5,60.2,93.7,1.7,1.3,3.6,0.0,1.0,0.9,29.0,12.0,58.0,1.315416334,0,2,0,0,2,4,0,0
Bernardston,1924.0,96.0,28.4,2110.0,5.1,66771.0,85278.0,6.8,7.9,1220.0,88.0,84.3,0.8,5.2,1.2,1.2,1.9,0.0,5.2,0.2,80.6,19.4,2532.0,109.1,50.5,99.4,0.0,0.0,0.0,0.0,0.8,0.4,20.0,9.0,69.0,0.836,0,2,0,0,2,4,0,0
Norfolk,8018.0,92.1,52.8,9139.0,3.4,151279.0,175072.0,0.5,1.1,3337.0,95.5,89.3,6.9,1.6,0.3,1.9,0.0,0.0,0.0,0.0,95.6,4.4,11309.0,140.4,41.8,88.7,7.3,0.3,2.0,0.0,3.4,7.1,19.0,18.0,63.0,1.140301318,5,4,3,2,3,0,2,4
Sherborn,2979.0,99.7,83.6,3357.0,3.2,198681.0,222760.0,4.6,5.8,1601.0,95.3,91.5,3.9,0.6,0.0,1.3,0.0,2.7,0.0,0.0,96.0,4.0,4316.0,85.2,46.6,92.6,1.6,0.0,8.4,0.0,1.0,2.2,26.0,15.0,58.0,1.4115277780000002,3,4,3,2,3,0,2,4
Auburn,12084.0,94.7,40.5,13660.0,5.0,85432.0,103282.0,1.0,3.1,6902.0,96.1,77.7,4.6,2.9,4.7,3.1,1.4,2.4,3.2,0.0,84.9,15.1,16619.0,95.0,45.0,96.0,1.8,0.8,2.1,0.1,0.7,4.6,25.0,11.0,62.0,1.152405532,2,2,3,0,3,2,0,0
Shelburne,3025.0,93.0,44.5,3307.0,6.5,62966.0,86736.0,6.6,10.3,2070.0,87.5,65.9,2.9,14.3,10.3,3.2,0.7,0.6,2.1,0.0,68.1,31.9,3852.0,88.8,52.5,95.1,1.3,0.2,4.6,0.5,0.0,1.1,33.0,6.0,60.0,0.690846154,0,2,0,0,2,4,0,0
Millbury,9902.0,92.9,32.5,11343.0,6.9,85781.0,108804.0,2.3,4.4,5674.0,93.0,60.8,10.2,9.9,7.3,6.0,1.7,3.9,0.4,0.0,73.3,26.7,13732.0,91.1,44.9,94.4,3.0,0.5,2.9,0.5,1.5,1.2,23.0,12.0,64.0,0.701102468,2,2,1,0,3,2,0,0
Conway,1442.0,98.4,62.3,1574.0,4.4,96563.0,135248.0,0.7,1.9,894.0,87.0,90.5,3.0,4.4,0.0,0.0,0.3,1.5,0.3,0.0,85.5,14.5,1929.0,106.1,51.1,99.3,0.0,0.6,0.2,0.0,0.5,2.7,38.0,9.0,51.0,1.087700617,2,0,0,0,2,2,0,1
Marion,3745.0,93.8,51.4,4145.0,4.4,81928.0,131747.0,0.0,4.0,2481.0,78.3,93.3,1.2,1.2,0.3,0.7,0.8,2.5,0.0,0.0,80.3,19.7,5132.0,91.1,50.2,91.7,2.9,0.0,3.3,0.0,6.0,4.4,22.0,16.0,60.0,0.639242151,2,2,0,0,3,2,0,0
Chilmark,1282.0,99.4,61.9,1514.0,5.1,96061.0,161474.0,5.5,10.3,2163.0,29.2,98.0,0.9,0.6,0.0,0.0,0.0,0.0,0.6,0.0,79.7,20.3,1753.0,93.1,47.4,89.9,4.6,9.8,1.2,0.0,0.6,6.7,46.0,5.0,48.0,0.39555555600000003,5,0,4,0,2,2,0,1
Acushnet,8009.0,84.9,22.2,9035.0,3.6,80221.0,93690.0,3.8,4.3,4236.0,96.6,84.3,1.6,2.1,5.2,1.5,0.5,0.2,4.6,0.0,86.8,13.2,10529.0,92.9,47.1,94.3,1.3,1.0,2.2,0.0,4.5,3.4,27.0,8.0,64.0,1.223592314,2,2,0,0,2,2,0,0
Chelmsford,18611.0,97.2,59.5,20952.0,4.3,126081.0,141712.0,1.5,3.2,9982.0,97.3,74.1,4.7,2.3,1.4,1.3,5.6,9.4,1.1,0.0,84.5,15.5,25754.0,96.6,44.7,88.9,0.7,0.4,10.6,0.0,0.8,2.9,22.0,12.0,65.0,1.108876744,5,0,3,2,0,0,2,1
Acton,15787.0,96.4,74.7,17918.0,4.1,141265.0,170409.0,0.9,3.1,8689.0,98.2,63.2,6.3,3.7,2.7,2.9,9.7,11.1,0.4,0.0,74.3,25.7,22791.0,94.9,44.1,71.7,1.8,0.4,27.9,0.3,0.6,3.3,29.0,9.0,61.0,0.810189811,5,0,5,2,0,0,2,4
Westford,16259.0,97.6,67.4,19090.0,3.0,144917.0,157882.0,1.5,2.1,8852.0,96.8,81.5,7.8,1.1,1.4,2.8,1.1,4.0,0.3,0.0,86.2,13.8,24342.0,97.2,43.2,79.0,0.9,0.5,21.2,0.0,0.0,1.5,21.0,12.0,66.0,1.255470919,5,4,3,2,3,0,2,4
Amherst,14069.0,95.8,66.4,26656.0,5.8,61159.0,91025.0,7.0,26.0,10965.0,89.4,45.6,4.7,9.9,9.5,10.8,9.3,10.0,0.1,0.0,49.0,51.0,30014.0,92.9,23.4,80.2,8.8,1.4,12.7,0.7,2.3,7.5,49.0,4.0,45.0,1.02619665,0,5,5,0,1,2,0,0
Leicester,4519.0,91.3,29.4,5671.0,3.7,81042.0,95204.0,5.8,8.1,2542.0,96.5,77.9,2.1,3.1,0.7,3.2,4.3,7.6,1.1,0.0,75.8,24.2,6654.0,89.4,42.3,96.8,3.4,0.1,1.2,0.1,0.0,2.4,24.0,11.0,64.0,1.1129923464,2,2,1,0,0,2,0,0
Ashfield,1031.0,96.7,47.1,1157.0,4.8,70761.0,100026.0,5.5,10.0,716.0,80.2,83.5,0.8,8.9,2.4,2.9,1.4,0.0,0.0,0.0,81.2,18.8,1276.0,98.4,55.2,98.1,0.5,0.9,2.8,0.0,1.8,3.1,33.0,6.0,60.0,1.232900943,0,2,0,0,2,4,0,0
Erving,1014.0,90.7,17.7,1126.0,7.6,62727.0,70176.0,6.9,11.8,604.0,90.4,70.9,4.6,9.6,9.1,0.0,0.7,3.8,1.3,0.0,79.1,20.9,1380.0,83.8,45.5,96.4,1.9,2.0,1.4,0.0,0.9,3.7,21.0,9.0,69.0,0.845382003,0,2,1,0,0,4,0,0
Berlin,2392.0,96.4,50.5,2693.0,2.9,99297.0,131851.0,2.9,4.2,1253.0,94.1,61.9,19.2,9.3,3.0,0.9,0.0,4.9,0.6,0.0,82.5,17.5,3182.0,92.8,49.7,98.7,0.4,0.0,2.4,0.0,0.0,0.2,19.0,12.0,67.0,1.008139535,2,0,3,0,0,2,0,1
Dartmouth,14075.0,85.2,28.4,20033.0,4.7,82963.0,100576.0,5.3,7.3,7265.0,95.3,77.7,1.7,2.4,3.0,1.4,6.5,7.0,0.2,0.1,77.1,22.9,22947.0,95.3,36.3,91.3,5.7,0.6,3.5,0.1,1.5,2.9,31.0,11.0,57.0,0.782741967,2,2,1,0,2,2,0,0
Egremont,6053.0,92.9,41.2,7154.0,3.6,69328.0,88861.0,5.8,7.5,4735.0,74.1,75.0,0.9,7.7,4.0,7.0,2.6,2.2,0.7,0.0,74.5,25.5,8525.0,88.4,49.6,94.1,3.2,0.2,1.1,0.2,2.3,5.7,42.0,7.0,50.0,0.71097561,0,2,0,0,2,4,0,0
Florida,10556.0,85.1,23.4,13045.0,5.4,44721.0,61315.0,12.7,17.7,7696.0,85.3,51.0,1.7,12.4,14.8,9.0,1.0,6.3,3.9,0.0,62.5,37.5,15466.0,102.1,43.2,94.8,4.4,1.8,1.0,0.2,2.8,5.8,17.0,10.0,72.0,1.559763033,0,2,1,0,0,4,0,0
Hamilton,5348.0,98.2,69.3,6176.0,1.6,127813.0,143832.0,9.4,11.9,2955.0,92.0,85.1,1.0,2.6,0.5,3.8,0.4,6.3,0.3,0.0,80.9,19.1,8031.0,102.3,41.1,92.9,1.0,0.2,6.5,0.2,0.5,1.5,20.0,16.0,63.0,0.891755046,5,0,3,2,3,0,2,1
Middlefield,253.0,100.0,24.1,266.0,0.0,49643.0,77533.0,3.2,4.1,198.0,72.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5,3.5,268.0,76.3,61.2,94.4,0.0,4.9,2.6,0.0,0.0,0.0,29.0,16.0,55.0,1.027052023,0,2,0,0,2,4,0,0
Monroe,67.0,100.0,10.4,71.0,11.9,28750.0,46057.0,21.7,14.9,70.0,70.0,91.4,2.9,2.9,2.9,0.0,0.0,0.0,0.0,0.0,73.5,26.5,87.0,102.3,57.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,85.0,0.773287671,0,2,0,0,0,4,0,0
Mount Washington,382.0,97.1,58.6,436.0,0.0,67500.0,83089.0,5.7,8.0,372.0,57.5,90.3,0.5,8.1,1.1,0.0,0.0,0.0,0.0,0.0,84.1,15.9,488.0,125.9,50.1,88.1,0.2,8.4,0.4,0.2,2.9,7.8,29.0,7.0,64.0,0.350547945,0,2,4,0,2,4,0,0
New Marlborough,484.0,91.3,52.3,517.0,3.9,68438.0,111359.0,0.0,8.9,464.0,61.6,94.4,1.7,2.2,0.0,0.9,0.0,0.0,0.9,0.0,89.9,10.1,540.0,94.2,59.4,98.7,1.5,0.0,0.0,0.0,0.6,0.6,31.0,12.0,55.0,1.160458453,2,2,0,0,2,4,0,0
Phillipston,9689.0,90.5,19.9,11209.0,8.4,57987.0,70485.0,8.1,13.0,6031.0,87.4,71.7,2.4,8.1,6.2,4.4,3.0,2.4,1.7,0.0,74.3,25.7,13486.0,87.2,43.8,95.2,2.8,0.7,1.5,0.0,3.3,4.9,14.0,14.0,70.0,0.804388298,0,2,1,0,0,4,0,0
Truro,586.0,88.9,41.5,586.0,4.2,70921.0,80629.0,0.0,1.9,1885.0,17.9,81.0,5.3,1.9,5.1,1.5,0.7,1.5,3.0,0.0,81.1,18.9,687.0,94.6,60.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,53.0,0.454035245,0,2,0,0,2,4,0,0
Tyringham,159.0,99.4,42.8,187.0,1.7,71250.0,136495.0,3.6,20.4,128.0,62.5,93.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,22.5,206.0,70.2,55.5,92.7,1.0,0.0,0.0,0.0,6.3,15.0,30.0,12.0,58.0,0.9044390240000001,2,2,0,0,2,4,0,0
West Tisbury,2003.0,98.0,54.3,2166.0,2.4,95351.0,111340.0,0.0,6.0,2457.0,43.5,97.7,0.0,1.6,0.7,0.0,0.0,0.0,0.0,0.0,87.5,12.5,2418.0,72.6,54.9,97.1,3.4,1.4,1.0,0.3,0.6,2.6,41.0,6.0,52.0,0.7741176470000001,2,0,0,0,2,2,0,1
Westhampton,13940.0,96.4,39.3,15399.0,6.6,67119.0,82441.0,3.5,8.6,8457.0,93.7,56.7,4.6,11.1,10.3,6.5,5.6,5.0,0.2,0.0,63.6,36.4,17818.0,96.0,45.0,95.9,2.4,0.4,3.1,0.0,1.3,4.2,22.0,9.0,68.0,0.970175879,0,2,1,0,0,2,0,0
Whately,228.0,98.7,55.3,288.0,2.1,91563.0,138207.0,0.0,8.0,120.0,97.5,90.8,4.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,6.0,313.0,104.6,52.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,11.0,59.0,0.629391304,2,2,0,0,2,2,0,1
Yarmouth,17674.0,94.5,36.3,19482.0,4.1,64627.0,82620.0,4.5,6.7,16238.0,61.8,79.8,6.4,2.6,1.7,2.6,1.5,5.3,0.0,0.0,77.8,22.2,22074.0,83.7,54.1,92.3,3.9,0.7,3.0,0.5,2.5,2.9,25.0,15.0,59.0,1.010588128,0,2,0,0,2,2,0,0
