,voters,democrat,dem%,republican,rep%,green-rainbow,green%,libertarian,liber%,unenrolled,un%
WINTHROP.....................................................,"12,793","4,378",34,"1,130",9,7,0,35,0,"7,208",56
SUNDERLAND................................................,"2,366",834,35,163,7,8,0,9,0,"1,332",56
EAST LONGMEADOW....................................,"11,822","2,891",24,"2,117",18,5,0,31,0,"6,648",56
DEDHAM.........................................................,"18,950","6,407",34,"1,677",9,6,0,68,0,"10,636",56
RICHMOND.....................................................,"1,141",392,34,94,8,2,0,2,0,640,56
ORLEANS........................................................,"5,265","1,393",26,894,17,7,0,11,0,"2,936",56
NANTUCKET...................................................,"8,920","2,688",30,"1,141",13,14,0,38,0,"4,972",56
MELROSE.......................................................,"20,041","6,826",34,"1,905",10,12,0,56,0,"11,113",55
FRAMINGHAM................................................,"38,159","13,395",35,"3,135",8,36,0,135,0,"21,125",55
STOUGHTON..................................................,"19,302","6,683",35,"1,619",8,7,0,82,0,"10,685",55
SHEFFIELD.....................................................,"2,351",725,31,301,13,2,0,10,0,"1,299",55
WEST STOCKBRIDGE...................................,"1,160",448,39,61,5,1,0,6,1,640,55
NEEDHAM.......................................................,"22,395","7,422",33,"2,431",11,13,0,40,0,"12,348",55
WELLESLEY....................................................,"17,977","5,251",29,"2,748",15,6,0,43,0,"9,912",55
TISBURY..........................................................,"3,558","1,308",37,265,7,4,0,6,0,"1,961",55
NEW MARLBOROUGH...................................,"1,173",367,31,137,12,4,0,9,1,646,55
LEXINGTON....................................................,"21,609","7,996",37,"1,604",7,12,0,32,0,"11,884",55
WESTPORT.....................................................,"11,999","3,698",31,"1,520",13,7,0,54,0,"6,589",55
METHUEN.......................................................,"31,742","10,198",32,"3,644",11,11,0,130,0,"17,403",55
MIDDLEFIELD.................................................,353,102,29,55,16,0,0,2,1,193,55
WILBRAHAM...................................................,"10,422","2,613",25,"2,007",19,7,0,34,0,"5,686",55
CHICOPEE......................................................,"35,838","11,847",33,"4,004",11,47,0,168,0,"19,400",54
SALEM.............................................................,"30,013","11,185",37,"2,089",7,38,0,149,0,"16,237",54
LINCOLN.........................................................,"4,683","1,658",35,444,9,1,0,20,0,"2,533",54
HADLEY...........................................................,"3,859","1,400",36,341,9,2,0,10,0,"2,083",54
LOWELL..........................................................,"57,861","21,182",37,"4,436",8,46,0,309,1,"31,193",54
LUDLOW.........................................................,"13,642","4,295",31,"1,772",13,13,0,52,0,"7,344",54
QUINCY...........................................................,"57,611","20,943",36,"4,672",8,44,0,252,0,"30,998",54
WILLIAMSBURG.............................................,"1,936",775,40,115,6,5,0,8,0,"1,024",53
CONCORD......................................................,"13,210","4,718",36,"1,440",11,6,0,41,0,"6,968",53
TRURO............................................................,"1,852",740,40,116,6,1,0,4,0,976,53
EDGARTOWN.................................................,"3,717","1,252",34,471,13,4,0,12,0,"1,955",53
OAK BLUFFS..................................................,"3,802","1,404",37,379,10,6,0,12,0,"1,988",52
WEST TISBURY..............................................,"2,521","1,045",41,140,6,4,0,9,0,"1,311",52
MALDEN..........................................................,"31,080","12,900",42,"1,656",5,24,0,109,0,"16,131",52
ALFORD..........................................................,393,166,42,21,5,0,0,1,0,202,51
CONWAY.........................................................,"1,507",575,38,138,9,5,0,3,0,770,51
MEDFORD.......................................................,"38,348","16,023",42,"2,397",6,29,0,113,0,"19,480",51
AQUINNAH......................................................,363,170,47,9,2,0,0,0,0,184,51
WELLFLEET....................................................,"2,863","1,134",40,243,8,9,0,7,0,"1,451",51
LONGMEADOW..............................................,"11,357","3,392",30,"2,088",18,6,0,30,0,"5,735",50
MILTON...........................................................,"20,708","8,491",41,"1,564",8,9,0,43,0,"10,453",50
WATERTOWN.................................................,"23,427","9,798",42,"1,530",7,22,0,78,0,"11,806",50
NEWTON.........................................................,"59,724","25,175",42,"4,010",7,51,0,131,0,"30,026",50
EGREMONT....................................................,999,417,42,66,7,1,0,7,1,502,50
REVERE..........................................................,"27,135","11,267",42,"1,872",7,9,0,103,0,"13,632",50
PITTSFIELD....................................................,"27,529","11,058",40,"2,334",8,55,0,150,1,"13,794",50
WORCESTER.................................................,"98,048","39,433",40,"7,770",8,103,0,421,0,"49,039",50
HOLYOKE........................................................,"25,818","10,633",41,"1,944",8,51,0,99,0,"12,873",50
SHUTESBURY.................................................,"1,416",632,45,62,4,9,1,3,0,704,50
GREAT BARRINGTON....................................,"4,707","2,008",43,309,7,8,0,11,0,"2,320",49
LYNN................................................................,"52,528","22,908",44,"3,176",6,32,0,198,0,"25,813",49
NEW BEDFORD..............................................,"58,270","24,887",43,"3,925",7,65,0,256,0,"28,410",49
