municipality,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%
West Dennis,3000,39.1,82.4,3.7,3.2,0.8,3.1,3.7,3.1,0.0,0.0,70.5,29.5
Yarmouth Port,3278,80.0,78.5,10.0,1.3,1.6,0.8,1.6,6.3,0.0,0.0,91.4,8.6
Boston,294418,91.5,11.9,6.3,13.4,24.2,11.0,7.7,25.3,0.1,0.0,35.0,65.0
Hopkinton,1173,96.1,64.4,13.0,2.9,11.3,1.7,0.0,6.7,0.0,0.0,71.1,28.9
Shirley,988,95.2,49.0,0.0,8.9,17.3,13.1,11.7,0.0,0.0,0.0,50.3,49.7
Somerville,34633,94.7,10.3,4.1,28.9,27.1,9.2,5.1,15.4,0.0,0.1,33.6,66.4
Waltham,25136,94.2,35.8,5.6,13.4,14.2,10.0,8.7,12.1,0.3,0.0,51.7,48.3
Woburn,16872,94.4,51.7,7.2,9.0,6.5,4.7,6.3,14.4,0.1,0.0,61.3,38.7
Holyoke,16981,90.0,32.9,4.0,14.4,11.1,16.7,9.7,11.1,0.1,0.0,40.7,59.3
Townsend,572,95.5,70.6,2.1,0.0,5.6,3.1,0.0,18.5,0.0,0.0,71.2,28.8
Hudson,6434,96.6,49.3,5.6,10.8,10.6,6.2,6.9,7.4,3.2,0.0,68.9,31.1
Littleton Common,1306,100.0,90.5,1.0,1.4,4.7,2.4,0.0,0.0,0.0,0.0,90.6,9.4
Reading,9419,97.6,73.5,3.4,3.6,2.9,2.4,4.1,10.1,0.0,0.0,84.1,15.9
East Brookfield,559,76.6,88.4,0.0,8.2,0.0,0.9,0.0,0.0,2.5,0.0,86.7,13.3
Fiskdale,1192,100.0,59.0,5.5,2.9,3.4,3.9,3.5,21.7,0.0,0.0,59.4,40.6
Oxford,2403,92.5,69.5,0.6,11.9,14.2,1.9,1.3,0.6,0.0,0.0,74.3,25.7
Mashpee Neck,648,79.8,98.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6,11.4
North Falmouth,2278,52.2,97.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.9,16.1
Woods Hole,1053,42.1,91.6,1.6,0.8,3.0,2.3,0.0,0.7,0.0,0.0,80.4,19.6
Millers Falls,530,92.1,63.4,2.8,16.0,11.9,5.8,0.0,0.0,0.0,0.0,73.0,27.0
Turners Falls,2178,92.5,46.4,1.9,23.7,10.4,7.7,4.3,5.6,0.0,0.0,52.6,47.4
Chicopee,24797,93.1,47.9,5.5,13.3,12.7,8.0,3.2,6.7,2.7,0.0,58.6,41.4
Springfield,62042,90.8,43.0,3.8,20.4,9.9,9.1,2.7,10.1,0.9,0.1,46.6,53.4
Teaticket,1562,54.4,77.1,10.1,1.5,4.6,1.3,0.0,5.2,0.0,0.0,80.1,19.9
Smith Mills,2123,94.4,67.2,0.8,1.0,5.5,3.5,10.0,12.1,0.0,0.0,61.9,38.1
Dedham,10577,94.9,65.1,4.1,8.0,4.9,2.6,1.5,13.3,0.4,0.0,72.1,27.9
Orleans,1507,59.9,54.8,7.2,6.2,9.6,4.8,4.2,13.1,0.0,0.0,72.4,27.6
Wilbraham,1244,95.5,82.7,7.6,0.0,5.6,2.7,1.3,0.0,0.0,0.0,90.2,9.8
Brookline,25963,94.1,18.4,5.4,7.7,14.0,15.4,6.7,32.3,0.0,0.1,48.9,51.1
Groton,516,100.0,50.2,2.5,13.8,7.6,8.3,1.4,16.3,0.0,0.0,55.2,44.8
Williamstown,1446,73.1,53.4,2.5,8.7,17.6,11.3,1.9,2.8,1.8,0.0,62.8,37.2
Salem,19631,93.9,28.9,7.7,15.9,20.5,8.5,4.6,13.6,0.0,0.3,51.5,48.5
Winchester,8125,97.0,72.5,8.6,6.7,1.8,1.6,2.0,6.5,0.3,0.0,86.4,13.6
Hull,5907,80.7,65.9,2.4,4.8,7.2,7.3,4.7,7.6,0.2,0.0,71.7,28.3
Dennis Port,5275,30.5,77.5,2.5,3.6,6.1,3.1,4.6,2.6,0.0,0.0,59.4,40.6
Northwest Harwich,3626,49.0,85.8,5.4,2.4,1.5,1.6,1.0,1.9,0.2,0.0,86.1,13.9
Foxborough,2728,100.0,28.4,9.8,5.4,12.6,36.5,3.7,3.5,0.0,0.0,40.3,59.7
South Yarmouth,7771,62.7,83.1,3.5,3.4,1.4,2.7,1.2,4.6,0.0,0.0,73.3,26.7
Pepperell,1192,91.2,50.0,10.1,7.1,12.7,5.6,4.1,9.7,0.7,0.0,58.0,42.0
Framingham,29449,95.8,50.3,6.1,6.9,6.5,3.6,6.4,19.8,0.2,0.1,53.9,46.1
Agawam,12253,96.5,64.9,5.1,5.0,4.2,8.2,4.6,7.7,0.3,0.0,75.8,24.2
Amesbury,7549,95.6,52.7,9.5,7.0,7.5,4.9,5.9,12.5,0.0,0.0,70.2,29.8
Braintree,14607,96.0,61.2,4.6,5.5,5.2,5.8,6.7,11.0,0.0,0.0,73.0,27.0
Blandford,184,70.7,92.9,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,92.3,7.7
Brookfield,320,100.0,62.5,2.8,13.1,21.6,0.0,0.0,0.0,0.0,0.0,61.9,38.1
Chester,308,95.8,77.9,1.0,11.0,5.2,0.0,4.9,0.0,0.0,0.0,69.2,30.8
Cheshire,299,72.2,57.9,0.0,7.4,4.0,0.0,0.0,0.0,30.8,0.0,76.4,23.6
Devens,239,100.0,34.3,18.4,8.8,35.6,2.9,0.0,0.0,0.0,0.0,76.6,23.4
Easthampton,7660,94.1,52.8,4.9,12.0,11.4,7.2,6.2,5.5,0.1,0.0,60.9,39.1
Franklin,12192,97.9,66.6,9.8,4.8,4.3,2.9,4.0,7.6,0.0,0.0,80.7,19.3
Deerfield,155,100.0,74.2,0.0,16.8,9.0,0.0,0.0,0.0,0.0,0.0,58.1,41.9
Greenfield,8521,94.6,49.0,4.6,12.5,13.6,9.4,3.0,6.9,0.9,0.0,56.3,43.7
Huntington,361,90.3,60.7,1.7,7.2,11.1,9.1,1.9,0.0,8.3,0.0,63.2,36.8
Madaket,650,17.4,93.8,0.6,0.0,1.1,4.5,0.0,0.0,0.0,0.0,91.2,8.8
Methuen,18700,95.8,60.6,6.9,9.0,7.5,2.9,5.8,6.9,0.3,0.0,71.8,28.2
Palmer,5377,90.8,61.9,2.1,13.4,8.5,5.2,2.0,2.1,4.9,0.0,71.7,28.3
Petersham,120,84.2,86.7,0.0,2.5,10.8,0.0,0.0,0.0,0.0,0.0,76.2,23.8
Russell,256,96.5,66.8,0.0,7.4,6.3,5.5,0.0,0.0,14.1,0.0,85.0,15.0
Siasconset,1056,3.7,98.6,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Southbridge,7368,92.5,37.7,2.6,16.1,21.7,11.4,5.8,4.3,0.5,0.0,44.2,55.8
The Pinehills,874,94.4,32.4,32.4,0.0,2.7,3.7,2.1,26.8,0.0,0.0,67.0,33.0
Upton,1053,91.1,58.7,6.1,15.2,8.6,5.6,0.0,5.8,0.0,0.0,63.5,36.5
Watertown,16570,94.3,23.5,9.0,32.6,10.1,3.1,3.0,18.6,0.0,0.0,51.8,48.2
West Springfield,12903,97.7,52.4,3.3,9.7,10.0,6.3,2.9,13.8,1.7,0.0,58.8,41.2
Edgartown,806,28.0,91.4,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,68.6,31.4
Hanscom AFB,577,96.0,31.0,60.0,0.0,6.6,1.0,0.0,1.4,0.0,0.0,0.0,100.0
