municipality,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
North Falmouth,2516,80.7,60.7,99.2,0.2,0.0,0.0,0.0,0.6,0.0
Woods Hole,816,42.2,61.8,96.7,0.0,0.0,1.0,0.0,3.3,0.0
Millers Falls,1284,90.8,40.1,99.8,0.5,0.7,0.5,0.0,0.0,0.5
Turners Falls,4010,82.4,46.3,90.6,3.1,5.3,0.4,0.0,5.0,8.3
Chicopee,55421,93.7,39.7,87.7,6.0,0.4,2.8,0.1,5.2,21.0
Springfield,154139,91.7,33.4,66.7,24.3,1.1,3.3,0.2,9.1,45.0
Teaticket,1697,104.0,56.9,96.7,5.0,0.0,0.8,0.0,0.4,5.4
Smith Mills,4678,89.9,46.2,97.4,1.9,0.1,2.0,0.0,0.5,0.1
Dedham,25283,86.8,42.9,86.6,8.5,0.4,3.7,0.1,3.3,8.7
Orleans,1798,77.5,61.9,86.4,11.5,0.0,0.0,2.1,2.1,3.5
Wilbraham,3466,95.3,46.7,97.8,1.5,0.0,0.9,0.0,0.4,6.8
Brookline,59180,88.9,33.7,76.3,4.7,1.0,20.8,0.2,2.6,6.8
Groton,1345,111.1,41.3,90.9,1.9,9.2,8.4,0.0,0.0,2.1
Williamstown,4506,81.5,21.4,82.5,6.7,0.5,11.5,0.1,3.5,9.1
Salem,43252,83.0,37.1,82.4,8.7,1.0,3.5,0.5,8.2,17.8
Winchester,22738,94.7,42.8,83.5,0.8,0.5,16.5,0.3,1.7,2.1
Hull,10455,86.4,53.5,98.1,1.0,0.7,2.0,0.0,0.3,1.7
Dennis Port,3428,106.1,47.9,88.2,13.3,0.0,0.4,0.0,0.2,4.4
Northwest Harwich,4136,97.2,56.4,92.9,1.6,1.5,1.3,0.0,5.1,4.1
Foxborough,6296,103.4,45.1,85.4,15.3,0.3,6.2,0.0,0.0,6.5
South Yarmouth,11091,88.0,52.4,91.9,4.5,0.7,2.7,0.3,2.6,2.2
Pepperell,2826,90.2,40.2,96.4,5.5,0.8,1.8,0.0,0.5,3.7
Framingham,72308,96.6,38.9,71.6,8.6,0.9,8.5,0.4,12.7,16.1
Agawam,28696,95.3,46.4,95.6,2.8,0.7,2.8,0.0,0.4,5.4
Amesbury,17434,95.1,43.9,98.1,1.5,0.6,2.0,0.0,0.1,2.5
Braintree,37220,93.7,41.5,82.2,3.5,0.8,14.5,0.0,0.9,2.1
Blandford,278,137.6,54.7,98.6,0.0,1.4,0.0,0.0,0.0,0.0
Brookfield,690,115.6,34.3,94.5,1.4,0.0,7.5,0.0,0.0,0.0
Chester,787,86.9,43.6,99.5,1.3,0.0,0.0,0.0,0.0,0.5
Cheshire,539,100.4,51.8,100.0,0.0,1.5,0.0,0.0,0.0,0.0
Devens,1969,443.9,43.1,64.4,20.4,2.5,12.0,0.6,5.6,14.0
Easthampton,15960,96.1,44.6,95.5,2.7,0.4,3.4,0.0,1.4,4.5
Franklin,33256,92.9,41.1,92.9,2.5,0.2,6.6,0.0,0.3,1.6
Deerfield,621,121.0,40.0,76.3,28.8,0.0,9.0,0.0,1.3,9.5
Greenfield,17375,98.9,43.7,92.5,3.5,0.4,2.4,0.1,3.6,7.7
Huntington,634,98.1,40.9,97.5,0.0,2.8,0.0,0.0,2.1,2.1
Madaket,274,82.7,51.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Methuen,50282,92.6,40.7,78.1,6.8,0.9,4.6,0.0,13.4,29.5
Palmer,12237,91.6,42.6,94.2,6.1,1.8,2.4,0.0,1.8,4.5
Petersham,259,89.1,51.4,98.8,5.0,0.0,0.0,0.0,0.0,8.5
Russell,526,76.5,45.3,95.8,8.2,1.0,0.0,0.0,0.0,10.8
Siasconset,81,161.3,78.0,87.7,11.1,0.0,1.2,0.0,0.0,0.0
Southbridge,16887,95.5,39.3,86.2,5.3,1.6,0.5,0.1,10.9,32.9
The Pinehills,1419,67.1,68.9,94.5,0.0,0.0,5.5,0.0,0.0,0.0
Upton,2292,137.0,47.9,97.9,2.4,0.0,0.0,0.0,0.7,7.9
Watertown,35401,87.5,38.2,85.1,2.5,0.4,11.3,0.3,3.4,9.2
West Springfield,28609,95.3,41.0,89.8,4.5,0.9,5.0,0.7,2.7,10.6
Edgartown,508,59.2,61.0,96.1,3.7,0.0,0.0,0.0,0.2,0.6
Hanscom AFB,2045,124.2,24.4,84.0,5.9,0.0,16.0,0.0,0.2,13.7
