municipality,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%
Florida,7696,85.3,51.0,1.7,12.4,14.8,9.0,1.0,6.3,3.9,0.0,62.5,37.5
Hamilton,2955,92.0,85.1,1.0,2.6,0.5,3.8,0.4,6.3,0.3,0.0,80.9,19.1
Middlefield,198,72.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5,3.5
Monroe,70,70.0,91.4,2.9,2.9,2.9,0.0,0.0,0.0,0.0,0.0,73.5,26.5
Mount Washington,372,57.5,90.3,0.5,8.1,1.1,0.0,0.0,0.0,0.0,0.0,84.1,15.9
New Marlborough,464,61.6,94.4,1.7,2.2,0.0,0.9,0.0,0.0,0.9,0.0,89.9,10.1
Phillipston,6031,87.4,71.7,2.4,8.1,6.2,4.4,3.0,2.4,1.7,0.0,74.3,25.7
Truro,1885,17.9,81.0,5.3,1.9,5.1,1.5,0.7,1.5,3.0,0.0,81.1,18.9
Tyringham,128,62.5,93.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,22.5
West Tisbury,2457,43.5,97.7,0.0,1.6,0.7,0.0,0.0,0.0,0.0,0.0,87.5,12.5
Westhampton,8457,93.7,56.7,4.6,11.1,10.3,6.5,5.6,5.0,0.2,0.0,63.6,36.4
Whately,120,97.5,90.8,4.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,6.0
