municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Wareham,3894,86.64422187981509,16.021263482280432,4274.0,4.908376228357511,46359.857744501634,62336.03041647169,8.778474496958353,13.115910154422085,3049.0,77.94293210888816,62.25136110200065,4.927550016398819,2.6781567727123647,4.0379796654640865,7.583863561823549,0.0,3.2436864545752706,15.277402427025255,0.0,58.49858970154149,41.50141029845851,5464.0,83.19895680819911,45.120607613469986,86.22015007320644,10.299249633967788,4.047309663250366,0.661493411420205,0.661493411420205,6.192240117130306,4.441343338213763
Warren,435,100.0,16.3,435.0,19.5,21000.0,37634.0,0.0,17.1,396.0,75.3,41.7,0.0,22.5,16.9,6.3,6.3,6.3,0.0,0.0,50.7,49.3,510.0,78.9,42.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Watertown,27845,95.0,65.9,30404.0,3.5,101103.0,124756.0,4.9,7.6,16570.0,94.3,23.5,9.0,32.6,10.1,3.1,3.0,18.6,0.0,0.0,51.8,48.2,35401.0,87.5,38.2,85.1,2.5,0.4,11.3,0.3,3.4,9.2
Webster,8360,84.9,19.0,9846.0,7.9,49051.0,65583.0,6.9,11.9,5343.0,91.2,29.6,5.2,16.2,28.6,10.1,3.3,5.7,1.3,0.0,41.1,58.9,11943.0,91.3,40.6,83.4,7.4,0.4,1.2,0.0,11.0,15.7
Wellesley,15964,97.9,83.8,22365.0,4.6,197132.0,287793.0,3.1,4.4,8926.0,94.7,81.1,3.5,2.1,3.7,1.4,0.9,7.3,0.1,0.0,80.9,19.1,28747.0,76.3,35.6,83.3,3.6,0.4,14.8,0.3,1.2,5.1
Westborough,2935,94.3,55.2,3218.0,2.4,87557.0,118911.0,4.9,6.8,1843.0,93.8,44.8,2.9,16.0,6.6,5.7,5.0,19.0,0.0,0.0,55.3,44.7,3957.0,96.8,41.5,91.9,1.3,1.7,5.8,0.0,0.5,5.9
Westfield,27397,89.5,32.2,35052.0,4.3,67862.0,86684.0,5.1,7.2,16061.0,95.1,59.0,1.9,12.4,7.9,5.6,1.9,8.5,3.0,0.0,67.1,32.9,41449.0,92.6,39.6,93.5,2.3,0.3,3.1,0.3,1.8,9.5
Westport,3321,79.6,29.5,3694.0,2.0,67522.0,89913.0,4.9,7.8,2007.0,96.0,78.0,0.6,9.6,2.2,3.2,0.0,3.6,2.0,0.7,79.7,20.3,4510.0,97.4,49.5,98.9,0.3,0.0,0.0,0.0,1.4,1.7
Weweantic,1350,93.0,25.6,1389.0,2.2,75536.0,87540.0,10.0,9.9,891.0,79.7,90.9,1.5,0.0,1.6,0.0,3.1,2.9,0.0,0.0,82.1,17.9,1797.0,83.7,43.2,88.5,2.9,0.0,6.1,4.7,4.1,0.0
Weymouth,41855,93.8,39.2,47753.0,5.8,84942.0,100858.0,4.3,6.0,24570.0,96.6,57.1,4.7,6.0,3.0,3.8,5.5,19.5,0.4,0.0,67.0,33.0,56734.0,90.4,42.4,85.7,6.3,0.3,7.5,0.2,1.8,3.8
White Island Shores,1850,94.5,12.3,2223.0,6.5,90475.0,90405.0,5.8,11.1,1118.0,81.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,22.0,2634.0,114.1,39.7,75.8,1.4,6.9,3.3,0.0,18.3,6.5
Whitinsville,4745,94.2,31.5,5332.0,6.4,77340.0,89884.0,5.0,6.1,2667.0,95.8,40.3,16.8,8.0,13.3,9.9,3.3,8.5,0.0,0.0,51.6,48.4,7220.0,80.0,36.3,91.4,5.8,1.9,6.8,0.8,1.7,5.7
Wilbraham,2434,92.2,50.6,2737.0,1.0,111100.0,138448.0,0.0,3.5,1244.0,95.5,82.7,7.6,0.0,5.6,2.7,1.3,0.0,0.0,0.0,90.2,9.8,3466.0,95.3,46.7,97.8,1.5,0.0,0.9,0.0,0.4,6.8
Williamstown,1581,94.1,69.4,4119.0,4.6,82917.0,106611.0,5.6,10.7,1446.0,73.1,53.4,2.5,8.7,17.6,11.3,1.9,2.8,1.8,0.0,62.8,37.2,4506.0,81.5,21.4,82.5,6.7,0.5,11.5,0.1,3.5,9.1
Wilmington,16386,95.3,43.5,19005.0,3.2,125922.0,143076.0,2.2,2.9,8073.0,98.6,85.1,3.5,0.9,2.0,0.9,4.6,3.0,0.1,0.0,85.8,14.2,23377.0,97.1,42.1,89.0,4.2,0.3,7.0,0.1,1.2,1.0
Winchendon,2884,91.1,25.3,3403.0,4.1,56773.0,80896.0,8.3,12.3,1814.0,86.8,46.9,5.5,11.5,24.3,5.8,5.2,0.8,0.0,0.0,50.2,49.8,3999.0,99.9,40.5,91.4,2.4,1.0,5.8,0.0,1.5,4.1
Winchester,15116,98.6,77.3,16960.0,2.0,169623.0,227899.0,1.5,2.3,8125.0,97.0,72.5,8.6,6.7,1.8,1.6,2.0,6.5,0.3,0.0,86.4,13.6,22738.0,94.7,42.8,83.5,0.8,0.5,16.5,0.3,1.7,2.1
Winthrop,14263,95.5,38.3,15688.0,3.6,74069.0,102769.0,5.4,8.8,8367.0,93.6,32.7,2.5,26.9,13.6,4.7,4.7,14.8,0.0,0.0,55.9,44.1,18542.0,88.3,44.9,95.0,3.7,0.2,1.3,0.0,1.9,9.5
Woburn,29255,94.3,45.4,33526.0,3.0,91022.0,108751.0,4.4,6.3,16872.0,94.4,51.7,7.2,9.0,6.5,4.7,6.3,14.4,0.1,0.0,61.3,38.7,40304.0,102.3,40.0,81.6,7.4,0.4,9.8,0.4,3.5,4.6
Woods Hole,724,98.9,81.2,741.0,2.4,97569.0,188991.0,7.7,9.8,1053.0,42.1,91.6,1.6,0.8,3.0,2.3,0.0,0.7,0.0,0.0,80.4,19.6,816.0,42.2,61.8,96.7,0.0,0.0,1.0,0.0,3.3,0.0
Worcester,121514,84.7,30.2,154224.0,5.6,48139.0,68613.0,14.6,20.0,78438.0,91.3,31.7,5.7,9.6,24.0,8.3,5.8,14.7,0.2,0.0,41.3,58.7,185143.0,96.3,34.7,72.6,15.6,1.2,8.3,0.2,6.5,21.9
Yarmouth,17674,94.48214326128776,36.324674663347295,19482.0,4.142079868596653,64626.982958628476,82620.0203264552,4.528477569038086,6.708726003490401,16238.0,61.814429116886316,79.7746951595024,6.441920187215174,2.560641704643429,1.7279775834462372,2.604046064786304,1.5363961078950608,5.294697622859958,0.0,0.0,77.75278359403868,22.247216405961325,22074.0,83.73119960134095,54.052179034157824,92.31959771677086,3.86898160732083,0.728268551236749,2.9690993929509832,0.4628295732536015,2.450711243997463,2.859241641750476
